Config,Dataset,Dim,Metric,small,normal,big
E-CNN,Tiny-ImageNet,N/A,Val Accuracy,39.15,50.2,44.35
E-CNN,Tiny-ImageNet,N/A,Test Accuracy,16.09,20.62,15.13
E-CNN,CUB-200,N/A,Val Accuracy,15.097540294851056,27.311280726982034,32.65479218545255
E-CNN,CUB-200,N/A,Test Accuracy,7.972858344831135,11.62001696069732,15.945716699368878
E-CNN,Flower102,N/A,Val Accuracy,38.137255014157766,39.313725415398096,34.2156862969492
E-CNN,Flower102,N/A,Test Accuracy,34.05431777524801,35.85948934786144,33.25744023418442
EQE-CNN,Tiny-ImageNet,N/A,Val Accuracy,45.36,52.45,51.66
EQE-CNN,Tiny-ImageNet,N/A,Test Accuracy,18.3,23.71,18.86
EQE-CNN,CUB-200,N/A,Val Accuracy,43.0873621325052,58.100084794993315,39.27056828467294
EQE-CNN,CUB-200,N/A,Test Accuracy,22.222222193102397,24.51229852898026,19.84732823295043
EQE-CNN,Flower102,N/A,Val Accuracy,37.15686276753743,38.13725490196079,36.176470565795896
EQE-CNN,Flower102,N/A,Test Accuracy,34.68856724670678,34.16815742397138,34.54220198406245
L-CNN,Tiny-ImageNet,N/A,Val Accuracy,23.83,40.67,42.29
L-CNN,Tiny-ImageNet,N/A,Test Accuracy,12.64,19.52,15.57
L-CNN,CUB-200,N/A,Val Accuracy,18.066157755152062,42.83290920629655,36.30195076694116
L-CNN,CUB-200,N/A,Test Accuracy,10.85665817519585,19.8473282345682,19.168787114189477
L-CNN,Flower102,N/A,Val Accuracy,17.352941195170086,16.666666669471592,12.058823538761512
L-CNN,Flower102,N/A,Test Accuracy,13.888437144251098,13.888437144251098,11.416490486257928
LEQE-CNN-3_4,Tiny-ImageNet,N/A,Val Accuracy,36.09,44.44,43.95
LEQE-CNN-3_4,Tiny-ImageNet,N/A,Test Accuracy,17.4,19.67,15.21
LEQE-CNN-3_4,CUB-200,N/A,Val Accuracy,40.11874468757299,55.47073790054386,37.57421540769103
LEQE-CNN-3_4,CUB-200,N/A,Test Accuracy,23.579304475921813,27.480916037005425,19.08396944623564
LEQE-CNN-3_4,Flower102,N/A,Val Accuracy,27.45098035849777,29.509803831811045,24.705882337981578
LEQE-CNN-3_4,Flower102,N/A,Test Accuracy,24.99593429825988,27.451618149292567,21.727110099203124
